"id" "meta" "author" "typestudy" "doi" "year" "journal" "h" "IF" "h5" "typepaper" "typecat" "no" "dv" "nc" "nt" "n" "effest" "efftype" "z" "comm1" "ncnew" "ntnew" "nnew" "mc.1" "mt.1" "sdc.1" "sdt.1" "mc.2" "mt.2" "sdc.2" "sdt.2" "mc.3" "mt.3" "sdc.3" "sdt.3" "mc.4" "mt.4" "sdc.4" "sdt.4" "mc.5" "mt.5" "sdc.5" "sdt.5" "mc.6" "mt.6" "sdc.6" "sdt.6" "mc.7" "mt.7" "sdc.7" "sdt.7" "mc.8" "mt.8" "sdc.8" "sdt.8" "mc.9" "mt.9" "sdc.9" "sdt.9" "mc.10" "mt.10" "sdc.10" "sdt.10" "mc.11" "mt.11" "sdc.11" "sdt.11" "mc.12" "mt.12" "sdc.12" "sdt.12" "mc.13" "mt.13" "sdc.13" "sdt.13" "mc.14" "mt.14" "sdc.14" "sdt.14" "teststat.1" "teststat.2" "teststat.3" "teststat.4" "teststat.5" "cor.1" "cor.2" "cor.3" "cor.4" "cor.5" "cor.6" "cor.7" "cor.8" "cor.9" "cor.10" "cor.11" "cor.12" "cor.13" "cor.14" "int.cor" "rxx.1" "ryy.1" "rxx.2" "ryy.2" "or.a.1" "or.b.1" "or.c.1" "or.d.1" "or.a.2" "or.b.2" "or.c.2" "or.d.2" "or.a.3" "or.b.3" "or.c.3" "or.d.3" "or.a.4" "or.b.4" "or.c.4" "or.d.4" "input" "output" "effestnew" "znew" "disc.eff" "disccat.eff" "disc.z" "disccat.z" "info" "disc.n" "macomm" "comm2" "effest.exp" "effestnew.exp"
121 "Card" "Jensen 1988" "r" "10.1097/00004583-198903000-00004" 1988 "Journal of American Academy of Child and Adolescent Psychiatry" NA 7.182 NA "article" 0 "0" "Father present (c) vs Father absent (t) on CBCL behavioral problem scale for mother, father and teacher." "NA" "NA" 180 -0.01 "r" NA "Table 3. CBCL Total T-scores. The effect is calculated for mother (z = -0.00494700656800381), father (z =  -0.0193456637050586) and teacher (z =-0.0234412060127233) and then averaged. We copied the sample size because it was unclear which sample size was meant. The sample sizes used to make the calculations were 119 / 109 / 114 for control and 56 / 52 / 51 for treatment. (N total = 175, 161, 165)" "NA" "NA" 180 55.5 55.4 9.1 10.1 52.5 52.1 9.7 9.6 50.4 49.9 9.7 10.2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "manually" "r" -0.0159090434208975 NA 0.00590904342089745 0 NA NA 0 0 NA "Sample sizes are uneven for the different groups, but the average does not reach 180. We do not know which one the authors used, so we copied the sample size" -0.01 -0.0159090434208975
122 "Card" "Jensen 1996" "r" "10.1097/00004583-199604000-00009" 1996 "Journal of American Academy of Child and Adolescent Psychiatry" NA 7.182 NA "article" 0 "0" "Nondeployed (c) vs Deployed (t) on externalizing" "NA" "NA" 382 0.05 "r" NA "Table 1, deployed vs non deployed on externalizing" "255" "127" 382 52.51 53.54 10.78 10.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "r" 0.0456973689188377 NA 0.00430263108116229 0 NA NA 0 0 NA NA 0.05 0.0456973689188377
123 "Card" "Kelley 1994" "r" "10.1207/s15327876mp0603_2" 1994 "Military Psychology," 30 0.549 17 "article" 0 "0" "Prior deployed (c) vs During deployed (t) on externalizing" "NA" "NA" 61 -0.05 "r" NA NA "NA" "NA" 61 55.6 51.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NA" "r" -0.05 NA 0 0 NA NA 2 0 NA "Only means, no SDs given in primary studies, original effect size copied." -0.05 -0.05
124 "Card" "Kelley 2001" "r" "10.1097/00004583-200104000-00016" 2001 "Journal of American Academy of Child and Adolescent Psychiatry" NA 7.182 NA "article" 0 "0" "Nondeployed (c) vs Deployed (t) on externalizing" "NA" "NA" 127 0.04 "r" NA "Table 1. Effect at predeployment for mother (r =0.025605932947252 ) and child care provider (r =0.182343962893327 ), and effect at postdeployment for mother (r = 0.0294706569592742) and child care provider (r =0.143479137169242 ). Mean is total effect." "75" "52" 127 51.2 51.6 7.8 7.5 47.6 51.5 10.3 10.4 50.3 50.8 8.5 8.1 49.1 52.7 12.8 11.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "r" 0.0959379436827303 NA -0.0559379436827303 1 NA NA 3 0 NA "Unclear whether mother and childcare provider effects both should be included, and whether predeployment or postdeployment (or both) is needed." 0.04 0.0959379436827303
125 "Card" "Lester" "r" "10.1016/S0084-3954(10)79781-5" 2011 "Journal of American Academy of Child and Adolescent Psychiatry" NA 7.182 NA "article" 0 "0" "Norms (c) vs Currently deployed (t) on externalizing" "NA" "NA" 138 0.03 "r" NA "Table 2. Effect calculated for boys (z = -0.104892933249372) and girls (z = 0.208065357661435). Effect for boys in calculated with N = 104 (c)  and N = 45 (t), effect for girls is calculated with N = 83 (c) and N = 40 (t). Mean of these two effects is total effect." "104 / 83" "45 / 40" 272 46.81 44.43 10.64 9.81 44.08 48.45 8.77 11.59 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "manually" "r" 0.0503020328020606 NA -0.0203020328020606 0 NA NA 0 -134 "Reported N too small" "Sample size unclear, multiple used in MA. We decided on taking the total sample size of all participants together, since all groups are independent." 0.03 0.0503020328020606
126 "Card" "Morris" "r" "10.1016/j.appdev.2009.01.002" 2009 "Journal of Applied Developmental Psychology" 59 1.4 24 "article" 0 "0" "Civilian (c) vs deployed (t) on conduct problems" "NA" "NA" 65 0.06 "r" NA "Table 1, conduct problems deployed vs nondeployed." "29" "36" 65 2.55 2.78 1.59 1.98 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "smd" "r" 0.0627978064107308 NA -0.00279780641073078 0 NA NA 0 0 NA NA 0.06 0.0627978064107308
127 "Crook" "Batjargal" "r" "10.1504/IJEIM.2005.006530" 2005 "International Journal of Entrepreneurship and Innovation Management," 15 0.659 16 "article" 0 "0" "Correlation Industry/managerial experience and revenue growth." "NA" "NA" 56 0.16 "r" NA "Table 3, row 24.  Correlation revenue growth with Industry experience  (r = .33) and managerial experience  (r = -.01). Mean is total effect." "NA" "NA" 56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.33 -0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.16 NA 0 0 NA NA 0 0 NA NA 0.16 0.16
128 "Crook" "Brush" "o" "10.1016/S0883-9026(97)00103-1" 1999 "Journal of Business Venturing" 116 4.204 63 "article" 0 "0" "Correlation Owner resources and net cash flow/log of employment growth." "NA" "NA" 195 0.01 "r" NA "Table 2. Correlation owner resources with net cash flow (r= 0.03) and log of employment growth (r = -.01). Mean is total effect." "NA" "NA" 195 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.03 -0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.01 NA 0.00000000000000000173472347597681 0 NA NA 0 0 NA NA 0.01 0.01
129 "Crook" "Carmeli" "o" "10.1002/smj.428" 2004 "Scandinavian Journal of Management" 34 1.076 25 "article" 0 "0" "Correlation Strategic human capital and self income ratio/collecting efficiency ratio" "NA" "NA" 98 0.4 "r" NA "Table 1. Self income ratio and efficience ratio = financial performance. Correlation financial performance and HC: \"Human capital is significantly and positively associated with financial performance (r = .40, p < 0.001)\"" "NA" "NA" 98 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.4 NA 0 0 NA NA 0 0 NA NA 0.4 0.4
130 "Crook" "Carpenter" "r" "10.2307/3069366" 2001 "Academy of Management Journal" 227 6.233 77 "article" 0 "0" "Correlation CEO international assignment experience and ROA/Stock market returns" "NA" "NA" 245 0.11 "r" NA "Table 1, row 4. Correlation CEO international assignment experience with ROA (r = .11) and stock market returns (r = .10). Average is total effect." "NA" "NA" 245 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.11 0.1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.105 NA 0.00499999999999999 0 NA NA 0 0 NA NA 0.11 0.105
131 "Crook" "De Carolis" "r" "10.1111/j.1540-6520.2009.00302.x" 2009 "Entrepreneurship Theory and Practice" 80 3.414 59 "article" 0 "0" "Correlation education/relational capital and progression of new venture creation." "NA" "NA" 269 0.22 "r" NA "Table 1, row 10. Correlation progress of a new venture with education (r = .05) and with relational capital (r = .36). Mean is total effect." "NA" "NA" 269 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.05 0.36 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.205 NA 0.015 0 NA NA 0 0 NA NA 0.22 0.205
132 "Crook" "Edelman" "o" "10.1016/j.jbusvent.2004.01.004" 2005 "Journal of Business Venturing" 116 4.204 63 "article" 0 "0" "Correlation managerial talent and change in return on sales." "NA" "NA" 192 0.01 "r" NA "Table 1, bottom row. Correlation change in return on sales with interpersonal skills (r = .012) and with business skills (r = .013). Mean is total effect." "NA" "NA" 192 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.012 0.013 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.0125 NA -0.0025 0 NA NA 0 0 NA NA 0.01 0.0125
133 "Crook" "Frese" "o" "10.1037/0021-9010.92.6.1481" 2007 "Journal of Applied Psychology" 195 3.81 69 "article" 0 "0" "Correlation cognitive ability/human capital and growth/expert evaluation/interviewer evaluation." "NA" "NA" 117 0.38 "r" NA "Table 2, south african sample. Correlation cognitive ability with growth (r = .19), with expert evaluation (r = .46) and with interviewer evaluation (r = .54). Correlation human capital with growth (r = .22), with expert evaluation (r = .42) and with interviewer evaluation (r = .45). Mean of these correlations is total effect." "NA" "NA" 117 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.19 0.46 0.54 0.22 0.42 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.38 NA 0 0 NA NA 0 0 NA NA 0.38 0.38
134 "Crook" "Garg" "r" "10.1002/smj.335" 2003 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation of Level of scanning and accounting return/sales growth/overall performance." "NA" "NA" 105 0.09 "r" NA "Table 3., column 2 Correlation scanning level with accounting return (r = .06), with sales growth (r = .09) and with overall performance (r = .13). Mean is total effect." "NA" "NA" 105 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.06 0.09 0.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.0933333333333333 NA -0.00333333333333334 0 NA NA 0 0 NA NA 0.09 0.0933333333333333
135 "Crook" "Hmieleski" "o" "10.5465/AMJ.2009.41330755" 2009 "Academy of Management Journal" 227 6.233 77 "article" 0 "0" "Correlation of education and entrepreneurial experience and revenue growth/employment growth" "NA" "NA" 201 0.05 "r" NA "Table 1., column 6 and 8. Correlation revenue growth with education (r = .09) and with entrepreneurial experience (r = .06). Correlation employment growth with education (r = .04) and with entrepreneurial experience (r = .02). Mean is total effect." "NA" "NA" 201 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.09 0.06 0.04 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.0525 NA -0.0025 0 NA NA 0 0 NA NA 0.05 0.0525
136 "Crook" "Kor Leblebici" "o" "10.1002/smj.485" 2005 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation of human capital leverage and profit per partner." "NA" "NA" 105 0.56 "r" NA "Table 2, row 15, column 1." "NA" "NA" 105 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.56 NA 0 0 NA NA 0 0 NA NA 0.56 0.56
137 "Crook" "Kor Mahoney" "o" "10.1002/smj.459" 2005 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation Top management firm-specific experience and Tobin's Q." "NA" "NA" 60 -0.07 "r" NA "Table 1, Firm specific experience of top managers." "NA" "NA" 60 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.07 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" -0.07 NA 0 0 NA NA 0 0 NA NA -0.07 -0.07
138 "Crook" "Lee" "o" "10.1002/smj.181" 2001 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation between internal capabilities and sales growth." "NA" "NA" 137 0.47 "r" NA "Table 1. Correlation sales growth with entrepreneurial orientation of the firm (r = .47), with technological capabilities (r = .45) and financial (r = .76). Mean is total effect." "NA" "NA" 137 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.47 0.45 0.76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.56 NA -0.0900000000000001 2 NA NA 1 0 NA "MA indicates \"internal capababilites\" as one correlate. This is defined in the primary articles as entrepreneurial orientation, technological capabilities, AND financial resources invested (p. 625). However, including the last leads to a result that is relatively far away from the reported result." 0.47 0.56
139 "Crook" "Nixon" "r" "10.1002/smj.423" 2004 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation Level of downsizing/reallocation
strategy/disengagement incentive and Market valuation of the firm" "NA" "NA" 364 0.18 "r" NA "The dependent variable is market valuation of the firm, operationalized as the cumulative abnor mal daily stock returns (CAR) observed at the time of the downsizing announcement. Table 1. Mean Level of downsizing (-.10), reallocation strategy (.14), disengagement incentive (.03) chosen. Market valuation of the firm\" = \"Market performance\"" "NA" "NA" 364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.1 0.14 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.0233333333333333 NA 0.156666666666667 3 NA NA 1 0 NA "There is a clear indication from MA which variables should be included, yet effect is different." 0.18 0.0233333333333333
140 "Crook" "Ployhart" "o" "10.5465/AMJ.2009.44635041" 2009 "Academy of Management Journal" 227 6.233 77 "article" 0 "0" "Correlation between unit service orientation and performance" "NA" "NA" 1255 0.02 "r" NA "Table 1. Correlation unit service orientation 1 with same store sales 2 (r = 0), same store sales 3 (r = -.01) and same store sales 4 (r = -.03); correlation unit service orientation 1 with adjusted controllable profit 2 (r = -.04), adjustable controllable profit 3 (r = -.04) and adjustable controllable profit 4 ( r= -.02); correlation unit service orientation 1 with  sales/employee 2 (r = -.02), sales/employee 3 (r = -.02) and sales/employee 4 (r = .02). Correlation unit service orientation 2 with the same variables (r = .02 (same store sales 2) / 0 (same store sales 3) / .01 (same store sales 4) / .05 (adjustable controllable profit 2) / .05  (adjustable controllable profit 3) / .07  (adjustable controllable profit 4) / .06 (sales/employee 2) / .06 (sales/employee 3) / .08 (sales/employee 4)). Correlation unit service orientation 3 with the same variables (r = .07 (same store sales 2) / .04 (same store sales 3) / .01 (same store sales 4) / .02 (adjustable controllable profit 2) / 0 (adjustable controllable profit 3) / .04 (adjustable controllable profit 4) / .05 (sales/employee 2) / .02 (sales/employee 3) / .07 (sales/employee 4)). Mean of all 27 correlations CALCULATED BY HAND, with mean inputted in this table." "NA" "NA" 1255 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0207407407407407 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "manually" "r" 0.0207407407407407 NA -0.00074074074074074 0 NA NA 3 0 NA "Outcome is not clear - we included all correlations (ie 1 with 2-3-4, 2 with 2-3-4, 3 with 2-3-4), but it is unclear if all should be included, and if all variables should be included." 0.02 0.0207407407407407
141 "Crook" "Powell" "r" "10.1002/(SICI)1097-0266(199705)18:5 375::AID-SMJ876 3.0.CO;2-7" 1997 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation IT training and IT performance/Overall performance." "NA" "NA" 65 0.38 "r" NA "Table in Appendix. Column 9, bottom 2 rows. Mean IT performance (0.5) and overall performance (0.26)" "NA" "NA" 65 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.5 0.26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.38 NA 0 0 NA NA 0 0 NA NA 0.38 0.38
142 "Crook" "Roth" "r" "10.2307/256733" 1995 "Academy of Management Journal" 227 6.233 77 "article" 0 "0" "Correlation Locus of control: information-gathering
style/information evaluation style/broad-based experience, marketing/management, technical management/core business experience/international experience and income growth." "NA" "NA" 74 0.01 "r" NA "Table 2, bottom row. Mean Locus of control (-.11) information-gathering style (.15), information evaluation style (.01), broad-based experience (-.09), marketing/management (.05), technical management (-.12) core business experience (.13) international experience (.08).  Mean of all 8 correlations." "NA" "NA" 74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.11 0.15 0.01 -0.09 0.05 -0.12 0.13 0.08 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.0125 NA -0.0025 0 NA NA 0 0 NA NA 0.01 0.0125
143 "Crook" "Schlemmer" "o" "10.1080/10196780600999924" 2006 "Electronic Markets" 13 1.404 18 "article" 0 "0" "Correlation Integration and Internet performance/Financial performance." "NA" "NA" 106 0.38 "r" NA "Table 3, row intgr. Mean of internet performance (.431) and financial performance (.331)" "NA" "NA" 106 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.431 0.331 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.381 NA -0.001 0 NA NA 0 0 NA NA 0.38 0.381
144 "Crook" "Takeuchi" "o" "10.1037/0021-9010.92.4.1069" 2007 "Journal of Applied Psychology" 195 3.81 69 "article" 0 "0" "Correlation Collective human capital and Relative establishment performance." "NA" "NA" 76 0.56 "r" NA "Table 2, bottom row, column 15." "NA" "NA" 76 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.56 NA 0 0 NA NA 0 0 NA NA 0.56 0.56
145 "Crook" "Thompson" "r" "10.1080/09585190500120806" 2005 "International Journal of Human Resource Management" 73 1.262 41 "article" 0 "0" "Correlation Management capabilities and value added per employee." "NA" "NA" 78 0.01 "r" NA "Table 1, row 4 column 1. Management capabilities = MC General" "NA" "NA" 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.01 NA 0 0 NA NA 0 0 NA NA 0.01 0.01
146 "Crook" "Van Iddekinge" "r" "10.1037/a0014453" 2009 "Journal of Applied Psychology" 195 3.81 69 "article" 0 "0" "Correlation Human Capital (Selection) with Retention, customer service performance (CSP), and profits." "NA" "NA" 861 0.14 "r" NA "Table 1. Human capital = selection. Mean of selection1+CSP1+Retention1+Profits1+Training1 (.12, .13, .06, .19) Selection2+2+2+2+2 (.17,.19,.05, .16), Selection3+3+3+3+3 (.15, .21, .10, .19),Selection 4+4+4+4+4 (.19, .20, .12,.21), Selection 5+5+5+5+5 (.18, .19, .08,.23), Selection 6+6+6+6+6 (.16, .23, .15,.20). Mean of all 24 correlations CALCULATED BY HAND, with mean inputted in this table." "NA" "NA" 861 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.160833333333333 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "manually" "r" 0.160833333333333 NA -0.0208333333333333 0 NA NA 3 0 NA "Human capital should also include training (p. 831 in primary paper)." 0.14 0.160833333333333
147 "Crook" "Wang" "r" "10.1002/smj.787" 2009 "Strategic Management Journal" 199 3.38 71 "article" 0 "0" "Correlation Self patent citations and Log of Tobin's Q." "NA" "NA" 211 0.15 "r" NA "Table 1, 1*2 (share of self-cites)" "NA" "NA" 211 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "r" "r" 0.15 NA 0 0 NA NA 0 0 NA NA 0.15 0.15
